Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
576,43.3,"33,391",328,Zmax310,4097,"1,945","6,631","-4,261,081.30",950
"16,113",46.9,"33,558","6,824",Manitou,3998,"21,830","71,555","41,562.10","13,843"
"11,424",48.8,"33,726","6,132",BoycottHoops,3900,"14,194","69,352","74,223.40","11,021"
"16,310",43.4,"33,901","8,231",Mazdah23,3799,"39,817","90,955","2,160.10","14,095"
"13,969",47.1,"34,204","7,558",Big Duck,3600,"26,782","72,585","137,118.50","13,664"
"10,643",48.9,"34,372","5,518",SgtSamuel123,3498,"27,725","70,318","4,575,333.40","12,202"
"8,225",51.6,"34,539","3,813",Boss_Ramos,3400,"14,849","67,862","57,559.40","9,752"
"7,302",55.8,"34,742","3,128",Dreambreaker™,3300,"22,773","63,134","111,144.10","9,095"
"4,667",56.9,"35,165","1,587",NickWyc,3100,"14,345","62,048","158,741.80","8,622"
"7,447",53.5,"34,947","4,098",Kopsir,3200,"25,485","65,393","186,564.30","9,177"
"2,509",58.7,"35,354",797,RetroBranch7709,3000,"12,821","60,360","106,908.10","6,421"
"18,328",41.1,"35,581","8,150",Rizzo,2900,"32,882","86,596","350,912.30","16,282"
"16,206",49.7,"35,818","6,021",BOZO,2800,"16,710","72,249","287,963.60","12,881"
"17,558",46.8,"36,071","5,704",xEpicWinningX,2698,"22,261","77,640","292,909.00","13,808"
"14,198",44.4,"36,267","4,514",TW SPADL,2600,"27,830","81,745","86,273.20","15,224"
"8,976",51.2,"27,917","3,260",Blehssed_B_BOB,10000,"16,608","54,908","162,136.60","8,776"
"13,876",42.1,"27,918","6,146",Walmsley27,9999,"21,123","66,379",0,"13,723"
"5,716",49.6,"27,921","2,736",Nickfyre,9998,"17,249","56,312","471,365.50","7,400"
"14,162",42.2,"27,925","6,074",Lampaanvehje,9996,"24,795","66,132","76,607.70","13,183"
"8,434",49.6,"27,925","4,901",Azelio_10,9996,"17,530","56,282","253,831.70","8,498"
"9,033",45.5,"27,926","5,516",Volstad,9994,"21,056","61,367","87,264.60","9,683"
"10,234",47,"27,926","5,738",Fakeer,9994,"27,885","59,358","56,032.00","10,282"
"11,159",48.4,"27,930","4,871",laaynadXDDD,9993,"13,907","57,740",0,"9,909"
"2,596",52.5,"27,931","1,155",Spider,9992,"18,499","53,218","764,430.50","5,619"
"11,855",47.5,"27,932","4,323",Jed,9991,"21,758","58,819","146,035.20","12,657"
"9,644",44.7,"27,934","6,862",Bug_Spencer,9990,"30,746","62,459",0,"10,447"
